Id,Run accession,popPUNK_cluster__autocolour,ST__autocolour,CC131_clades__autocolour,Duplicate__autocolour,year,Lab,Hospital name,Regional health authority,Regional health authority__colour,Latitude,Longitude,Clermont_Phylotype__autocolour,FimH__autocolor,folP__autocolour,gyrA__autocolour,parC__autocolour,gyrA_parC__autocolour,parE__autocolour,pmrB__autocolour,blaTEM1__autocolour,strB__autocolour,sul2__autocolour,strA__autocolour,sul1__autocolour,dfrA__autocolour,tetA__autocolour,tetB__autocolour,aadA__autocolour,mphA__autocolour,dfrA1__autocolour,aac3_Iia__autocolour,catA1__autocolour,dfrA5__autocolour,CTX-M-type__autocolour,CTX-M__autocolour,dfrA14__autocolour,blaOXA__autocolour,aph3__autocolour,catB3__autocolour,acc__autocolour,blaSHV__autocolour,dfrA12__autocolour,sul3__autocolour,cmlA1__autocolour,dfrA8__autocolour,C_mefB__autocolour,QnrS1__autocolour,floR__autocolour,Ampicillin_SIR,Aztreonam_SIR,Cefotaxim_SIR,Ceftazidim_SIR,Cefuroxim_SIR,Ciprofloxacin_SIR,Ciprofloxacin_NS,ESBL,Gentamicin_SIR,Meropenem_SIR,Nalidixin_SIR,Piperacillin_tazobactam_SIR,Sulfa_SIR,Tigecyklin_SIR,Tobramycin_SIR,Trimetoprim_sulfa_SIR,Ampicillin_SIR__colour,Aztreonam_SIR__colour,Cefotaxim_SIR__colour,Ceftazidim_SIR__colour,Cefuroxim_SIR__colour,Ciprofloxacin_SIR__colour,ESBL__colour,Gentamicin_SIR__colour,Meropenem_SIR__colour,Nalidixin_SIR__colour,Piperacillin_tazobactam_SIR__colour,Sulfa_SIR__colour,Tigecyklin_SIR__colour,Tobramycin_SIR__colour,Trimetoprim_sulfa_SIR__colour
30224_1_221,ERR4034519,3,69,,,2004,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,,,mphA,,,,,,,,,,,,,,,,,,,,R,S,S,S,,S,S,-         ,S,S,,S,,,,R,#DB4325,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#DB4325
30224_1_222,ERR4034520,23,978,,,2007,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH2,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,,,#57C4AD
30224_1_223,ERR4034521,9,141,,,2009,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD
30224_1_224,ERR4034522,3,69,,,2015,Førde,Førde sentralsykehus,Helse Vest,#02B0EE,61.456891,5.888686,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,mphA,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_225,ERR4034523,11,10,,,2005,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,A,fimH54,,,,,,,,,,,sul1,,tetA_4,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,R,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#DB4325
30224_1_226,ERR4034524,2,10245,,,2007,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH27,,gyrA.D87Y,,gyrA,,,blaTEM1,strB_1,,strA_4,,dfrA17,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,R,S,,,,R,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#DB4325,#57C4AD,,,,#DB4325
30224_1_227,ERR4034525,1,73,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD
30224_1_228,ERR4034526,28,362,,,2017,Førde,Førde sentralsykehus,Helse Vest,#02B0EE,61.456891,5.888686,D,fimH96,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,dfrA5,,,,,,,,,,,,,,,,R,,S,S,,S,S,-,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30224_1_229,ERR4034527,11,10,,,2006,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,A,fimH28,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA7,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,S,S,,,,R,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,,,#DB4325
30224_1_23,ERR4034321,13,59,,,2002,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,F,not detected,,,,,parE.I355T,,,strB_1,,strA_1,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_230,ERR4034528,7,12,,,2008,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH106,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,,tetA_4,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,,S,,S,I,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#EDA247,,#57C4AD,,#DB4325
30224_1_231,ERR4034529,7,12,,,2004,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_232,ERR4034530,2,95,,,2011,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,aadA2-like,,,,,,,,dfrA14,,,,,,,sul3,,,C-mefB-like,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30224_1_233,ERR4034531,3,69,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,D,fimH27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_234,ERR4034532,8,127,,,2008,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH136,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,,S,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD
30224_1_235,ERR4034533,2,95,,,2005,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_236,ERR4034534,2,95,,,2011,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_237,ERR4034535,11,10,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,A,fimH24,,gyrA.S83L,,gyrA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_238,ERR4034536,19,117,,,2009,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,F,fimH97,,,,,,,,,sul2,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,S,S,,S,S,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD
30224_1_239,ERR4034537,5,404,,,2006,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH27,,,,,,,blaTEM1,,sul2,,,,,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,-         ,S,S,S,S,,,,S,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,,,#57C4AD
30224_1_24,ERR4034322,9,135,,,2007,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,-         ,S,S,S,S,,,,S,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,,,#57C4AD
30224_1_240,ERR4034538,5,80,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH1,,,,,,,,,,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_241,ERR4034539,8,127,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH2,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,tetB_4,,,,,catA1,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30224_1_242,ERR4034540,2,95,,,2010,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,,,,,,,tetB_4,,mphA,,,,,,,,,,,,,,,,,,,,S,,S,S,I,S,S,,S,S,R,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#EDA247,#57C4AD,,#57C4AD,#57C4AD,#DB4325,#57C4AD,,#57C4AD,,#57C4AD
30224_1_243,ERR4034541,18,405,,,2007,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_1,,,,,,mphA,,,catA1,,,,dfrA14,,aph3,,,,,,,,,,,R,S,S,S,S,S,S,-         ,S,S,S,R,,,,R,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#DB4325,,,,#DB4325
30224_1_244,ERR4034542,11,10,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,A,fimH54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#EDA247,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_245,ERR4034543,4,131,B,,2002,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH22,,,,,parE.I529L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_247,ERR4034545,8,127,,,2008,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD
30224_1_248,ERR4034546,1,73,,,2011,Førde,Førde sentralsykehus,Helse Vest,#02B0EE,61.456891,5.888686,B2,fimH10,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,,,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30224_1_249,ERR4034547,13,10247,,,2003,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,F,not detected,,,,,parE.I355T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_25,ERR4034323,15,372,,,2006,Førde,Førde sentralsykehus,Helse Vest,#02B0EE,61.456891,5.888686,B2,fimH9,,,,,,,blaTEM1,,,,sul1,,,,aadA2,,dfrA1,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,S,S,,,,R,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,,,#DB4325
30224_1_251,ERR4034549,4,131,B,,2009,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH22,,,,,parE.I529L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD
30224_1_252,ERR4034550,48,714,,,2013,Førde,Førde sentralsykehus,Helse Vest,#02B0EE,61.456891,5.888686,D,fimH27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_253,ERR4034551,6,58,,,2015,Førde,Førde sentralsykehus,Helse Vest,#02B0EE,61.456891,5.888686,B1,fimH34,,,,,,,,,,,,,,,,,,,,dfrA5,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,R,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30224_1_254,ERR4034552,7,10412,,,2004,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_255,ERR4034553,3,69,,,2008,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,D,fimH27,,gyrA.S83L,parC.S80I,gyrA and parC,,,blaTEM1,strB_1,sul2,strA_4,,,,tetB_4,,mphA,,,,,,,dfrA14,,,,,,,,,,,,,R,,S,S,R,I,NS,,S,,R,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#DB4325,#EDA247,,#57C4AD,,#DB4325,#57C4AD,,#57C4AD,,#DB4325
30224_1_256,ERR4034554,11,10,,,2009,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,A,fimH30,,"gyrA.D87N, gyrA.S83L","parC.A108T, parC.S80I",gyrA and parC,,,,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,R,NS,-         ,S,S,R,S,,S,S,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#DB4325,,#57C4AD,#57C4AD,#DB4325,#57C4AD,,#57C4AD,#57C4AD,#57C4AD
30224_1_257,ERR4034555,13,59,,,2017,Førde,Førde sentralsykehus,Helse Vest,#02B0EE,61.456891,5.888686,F,fimH41,,,,,parE.I355T,,,strB_1,,strA_1,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,,S,S,-,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_258,ERR4034556,13,59,,,2005,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,F,fimH41,,,,,parE.I355T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_26,ERR4034324,2,95,,,2011,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH41,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_260,ERR4034558,13,59,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,F,not detected,,,,,parE.I355T,,,strB_1,sul2,strA_4,,,,,,,,,,,,,dfrA14,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,R,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#DB4325
30224_1_261,ERR4034559,1,73,,,2011,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH10,,,,,,,,,,,sul1,,,,,,,,,,,,,,,,,blaSHV48,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_262,ERR4034560,16,393,,,2006,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,D,fimH54,,"gyrA.D87N, gyrA.S83L","parC.S57T, parC.S80I",gyrA and parC,parE.L416F,,blaTEM1,strB_1,sul2,strA_4,,,,tetB_4,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,R,NS,,S,S,R,S,,,,S,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#DB4325,,#57C4AD,#57C4AD,#DB4325,#57C4AD,,,,#57C4AD
30224_1_264,ERR4034562,56,1567,,,2004,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,D,fimH218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_265,ERR4034563,5,550,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_266,ERR4034564,3,69,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,D,fimH27,,gyrA.S83L,,gyrA,,,,,,,,,tetA_4,tetB_4,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_268,ERR4034566,3,69,,,2005,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,tetB_4,,,,,catA1,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#DB4325
30224_1_269,ERR4034567,12,90,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,C,fimH142,,"gyrA.D87N, gyrA.S83L",parC.S80I,gyrA and parC,parE.S458A,,,,,,,,,,,,,,,,CTX-M-15,CTX-M,,,,,,blaSHV12,,,,,,,,R,,R,R,R,R,NS,+         ,I,S,,S,,S,,S,#DB4325,,#DB4325,#DB4325,#DB4325,#DB4325,,#EDA247,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_27,ERR4034325,2,95,,,2004,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30224_1_270,ERR4034568,82,216,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,A,novel fimH69-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30224_1_271,ERR4034569,7,12,,,2007,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH106,,gyrA.S83L,,gyrA,,,,,,,sul1,,,,aadA2,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,R,S,,,,S,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#DB4325,#57C4AD,,,,#57C4AD
30224_1_272,ERR4034570,2,95,,,2007,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,-         ,S,S,S,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,,,#57C4AD
30224_1_273,ERR4034571,4,131,C2,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH30,,"gyrA.D87N, gyrA.S83L","parC.E84V,parC.S80I",gyrA and parC,parE.I529L,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,dfrA14,,,,,,,,,,,,,R,,S,S,S,R,NS,-         ,S,S,,I,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#DB4325,,#57C4AD,#57C4AD,,#EDA247,,#57C4AD,,#DB4325
30224_1_274,ERR4034572,3,69,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,D,fimH27,,gyrA.S83L,parC.S80I,gyrA and parC,,,blaTEM1,,,,sul1,dfrA17,tetA_4,,,mphA,,aac3,,,,,,,,,,,,,,,,,,R,,S,S,S,R,NS,-,R,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#DB4325,#57C4AD,#DB4325,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30224_1_275,ERR4034573,1,73,,,2007,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,#60C3AE,59.937092,10.737619,B2,fimH10,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,,,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,S,I,,,,R,#DB4325,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#EDA247,,,,#DB4325
