lane,Run accession,popPUNK_cluster,ST,CC131_clades,Duplicate,year,Lab,Hospital name,Regional health authority,Clermont_Phylotype,FimH,folP,gyrA,parC,gyrA_parC,parE,pmrB,blaTEM1,strB,sul2,strA,sul1,dfrA,tetA,tetB,aadA,mphA,dfrA1,aac3_Iia,catA1,dfrA5,CTX-M-type,CTX-M,dfrA14,blaOXA,aph3,catB3,acc,blaSHV,dfrA12,sul3,cmlA1,dfrA8,C_mefB,QnrS1,floR,Ampicillin_SIR,Aztreonam_SIR,Cefotaxim_SIR,Ceftazidim_SIR,Cefuroxim_SIR,Ciprofloxacin_SIR,Ciprofloxacin_NS,ESBL,Gentamicin_SIR,Meropenem_SIR,Nalidixin_SIR,Piperacillin_tazobactam_SIR,Sulfa_SIR,Tigecyklin_SIR,Tobramycin_SIR,Trimetoprim_sulfa_SIR
30224_1#321,ERR4034619,1,73,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH10,,,,,,,,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,I
30224_1#322,ERR4034620,2,95,,,2005,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH27,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#324,ERR4034622,10,357,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,U,fimH21,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,,S
30224_1#325,ERR4034623,84,5308,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B1,fimH233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30224_1#326,ERR4034624,7,10252,,,2007,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH386,,,,,,,,,sul2,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S
30224_1#328,ERR4034626,3,69,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,D,fimH27,,gyrA.D87G,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,,,,,,,,,,dfrA14,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,R,S,,S,,R
30224_1#329,ERR4034627,18,405,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,D,fimH27,,"gyrA.D87N, gyrA.S83L",parC.S80I,gyrA and parC,parE.S458A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,R,R,NS,-         ,S,S,,S,,S,,S
30224_1#33,ERR4034331,3,69,,,2009,Førde,Førde sentralsykehus,Helse Vest,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30224_1#330,ERR4034628,6,1324,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,A,fimH31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#331,ERR4034629,17,144,,,2009,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH27,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,S,S,,S,S,S
30224_1#333,ERR4034631,4,131,A,,2012,Førde,Førde sentralsykehus,Helse Vest,B2,fimH41,,,,,parE.I529L,,,,,,,,,tetB_4,,,,,,,,,,,aph3,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#334,ERR4034632,1,73,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH30,,,,,,,blaTEM1,,,,,,,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R
30224_1#335,ERR4034633,16,393,,,2010,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,D,fimH54,,"gyrA.D87N, gyrA.S83L","parC.S57T, parC.S80I",gyrA and parC,parE.L416F,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,tetA_4,,,mphA,,,,,CTX-M-27,CTX-M,,,,,,,,,,dfrA8,,,,R,,R,I,R,R,NS,+         ,S,S,R,S,,S,,R
30224_1#336,ERR4034634,1,73,,,2005,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,B2,fimH10,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#337,ERR4034635,1,73,,,2014,Førde,Førde sentralsykehus,Helse Vest,B2,fimH10,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,,,tetB_4,,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R
30224_1#338,ERR4034636,6,58,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B1,fimH32,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,dfrA5,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R
30224_1#34,ERR4034332,6,345,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B1,fimH31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30224_1#340,ERR4034638,49,1084,,,2006,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,B1,fimH1162,,,,,,,blaTEM1,,,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,S,S,,,,S
30224_1#341,ERR4034639,5,80,,,2004,Førde,Førde sentralsykehus,Helse Vest,B2,fimH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S
30224_1#342,ERR4034640,1,73,,,2017,Førde,Førde sentralsykehus,Helse Vest,B2,fimH30,,,,,,,,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,,S,S,-,S,S,,S,,S,,S
30224_1#343,ERR4034641,9,141,,,2002,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#345,ERR4034643,50,1882,,,2005,Førde,Førde sentralsykehus,Helse Vest,B1,fimH123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#346,ERR4034644,18,405,,,2011,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,tetB_4,,mphA,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R
30224_1#347,ERR4034645,24,409,,,2003,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,A,not detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#348,ERR4034646,11,48,,,2008,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,A,fimH54,,,,,,,blaTEM1,,sul2,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,,S,,S,S,,S,,S
30224_1#349,ERR4034647,1,73,,,2007,Førde,Førde sentralsykehus,Helse Vest,B2,fimH12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,-         ,S,S,S,S,,,,S
30224_1#35,ERR4034333,1,73,,,2006,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S
30224_1#350,ERR4034648,8,127,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30224_1#351,ERR4034649,4,131,A,,2004,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH41,,,,,parE.I529L,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,,S,S,-         ,S,S,,S,,,,S
30224_1#352,ERR4034650,21,62,,,2008,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,F,fimH44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,,S,S,,S,,S
30224_1#353,ERR4034651,1,73,,,2008,Førde,Førde sentralsykehus,Helse Vest,B2,fimH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S
30224_1#354,ERR4034652,2,95,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH27,,gyrA.S83L,,gyrA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30224_1#355,ERR4034653,4,131,B,,2006,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH22,,,,,parE.I529L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S
30224_1#356,ERR4034654,18,405,,,2009,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,D,fimH29,,"gyrA.D87N, gyrA.S83L","parC.E84V, parC.S57T, parC.S80R",gyrA and parC,,,,strB_1,sul2,strA_4,sul1,dfrA17,tetA_4,tetB_4,,mphA,,,,,,,,,,,,,,,,,,,,I,,S,S,R,R,NS,,S,S,R,S,,S,S,R
30224_1#357,ERR4034655,2,95,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,S
30224_1#358,ERR4034656,2,95,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#359,ERR4034657,11,167,,,2007,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,A,fimH215,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,dfrA5,,,,,aph3,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,S,I,,,,R
30224_1#36,ERR4034334,22,453,,,2009,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B1,fimH31,,gyrA.S83L,,gyrA,,,,,,,,dfrA17,tetA_4,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,R,S,,S,S,R
30224_1#360,ERR4034658,1,73,,,2009,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH371,,,,,,,,,,,sul1,,,,aadA2-like,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,S,S,,S,S,S
30224_1#361,ERR4034659,3,69,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,D,fimH27,,,,,,,,,,,sul1,,,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,R
30224_1#362,ERR4034660,1,10213,,,2012,Førde,Førde sentralsykehus,Helse Vest,B2,fimH103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#363,ERR4034661,7,12,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#364,ERR4034662,10,428,,,2009,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,S,S,,S,S,S
30224_1#365,ERR4034663,10,357,,,2005,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,B2,fimH21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#366,ERR4034664,6,295,,,2014,Førde,Førde sentralsykehus,Helse Vest,B1,fimH38,,,,,,,,,,,,,,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R
30224_1#367,ERR4034665,31,349,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,D,fimH54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30224_1#368,ERR4034666,1,73,,,2010,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH10,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,I,S,S,S,+         ,S,S,S,S,,S,,S
30224_1#369,ERR4034667,85,625,,,2003,Førde,Førde sentralsykehus,Helse Vest,B2,fimH115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#37,ERR4034335,5,80,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH1,,,,,,pmrB.V161G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,S
30224_1#370,ERR4034668,7,12,,,2016,Førde,Førde sentralsykehus,Helse Vest,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30224_1#371,ERR4034669,2,421,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,novel fimH92-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30224_1#372,ERR4034670,1,73,,,2010,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH103,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,S,S,,S,,S
30224_1#373,ERR4034671,5,80,,,2010,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,S,S,,S,,S
30224_1#374,ERR4034672,47,994,,,2004,Førde,Førde sentralsykehus,Helse Vest,B1,fimH31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S
30224_1#376,ERR4034674,21,62,,,2002,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,F,fimH44,,,,,,,,strB_1,,strA_1,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#377,ERR4034675,1,73,,,2011,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH10,,,,,,,blaTEM1,,,,,dfrA7,,tetB_4,,,,,catA1,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,,S,S,,S,,S,,S
30224_1#378,ERR4034676,1,73,,,2006,Førde,Førde sentralsykehus,Helse Vest,B2,fimH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S
30224_1#379,ERR4034677,6,1727,,,2011,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B1,fimH31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#38,ERR4034336,4,131,A,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH41,,,,,parE.I529L,,blaTEM1,strB_1,sul2,strA_4,,dfrA17,,tetB_4,,,,,catA1,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R
30224_1#380,ERR4034678,2,95,,,2003,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH54,,,,,,,blaTEM1,,,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,,,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#381,ERR4034679,2,95,,,2011,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,,S,,S,,S
30224_1#382,ERR4034680,1,73,,,2007,Førde,Førde sentralsykehus,Helse Vest,B2,fimH240,,,,,,,,strB_1,,strA_1,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,-         ,S,S,S,S,,,,S
30224_1#383,ERR4034681,4,131,B,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH22,,,,,parE.I529L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30224_1#384,ERR4034682,26,10216,,,2005,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#39,ERR4034337,26,121,,,2007,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S
30224_1#4,ERR4034302,12,88,,,2008,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,C,fimH1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S
30224_1#40,ERR4034338,86,-1220,,,2009,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30224_1#41,ERR4034339,16,393,,,2005,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,D,fimH54,,"gyrA.D87N, gyrA.S83L","parC.E84V, parC.S57T, parC.S80R",gyrA and parC,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,R,NS,-         ,S,S,,S,,,,S
30224_1#42,ERR4034340,1,73,,,2012,Førde,Førde sentralsykehus,Helse Vest,B2,fimH10,,,,,,,,,,,sul1,,,,aadA2-like,,,,,,,,,,,,,blaSHV48,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,I
30224_1#43,ERR4034341,5,14,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#44,ERR4034342,2,421,,,2003,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#45,ERR4034343,30,646,,,2006,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,B2,novel fimH267-like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S
30224_1#46,ERR4034344,10,428,,,2014,Førde,Førde sentralsykehus,Helse Vest,B2,fimH22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30224_1#47,ERR4034345,19,117,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,F,fimH97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30224_1#48,ERR4034346,4,131,C1,,2006,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH30,,"gyrA.D87N, gyrA.S83L","parC.E84V,parC.S80I",gyrA and parC,parE.I529L,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,tetA_4,,,mphA,,aac3,,,,,,,,,,,,,,,,,,R,S,S,S,I,R,NS,-         ,R,S,R,S,,,,R
30224_1#49,ERR4034347,2,95,,,2007,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,-         ,S,S,S,S,,,,S
30224_1#5,ERR4034303,57,5451,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,D,fimH1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,S
30224_1#50,ERR4034348,8,127,,,2003,Førde,Førde sentralsykehus,Helse Vest,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#51,ERR4034349,3,69,,,2016,Førde,Førde sentralsykehus,Helse Vest,D,fimH27,,,,,,,blaTEM1,,,,,,,,,mphA,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,S
30224_1#52,ERR4034350,1,73,,,2014,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30224_1#53,ERR4034351,10,428,,,2008,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S
30224_1#54,ERR4034352,7,12,,,2005,Førde,Førde sentralsykehus,Helse Vest,B2,fimH116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#55,ERR4034353,3,69,,,2017,Førde,Førde sentralsykehus,Helse Vest,D,fimH27,,gyrA.S83A,,gyrA,,,blaTEM1,,,,sul1,dfrA17,,,,mphA,,,,,,,,,,,,,,,,,,,,R,,S,S,,S,S,-,S,S,,S,,S,,R
30224_1#56,ERR4034354,6,8579,,,2003,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B1,fimH86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#57,ERR4034355,1,73,,,2008,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S
30224_1#58,ERR4034356,7,12,,,2006,Førde,Førde sentralsykehus,Helse Vest,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S
30224_1#59,ERR4034357,10,357,,,2011,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#6,ERR4034304,3,69,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,D,fimH27,,,,,,,blaTEM1,,,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30224_1#60,ERR4034358,3,394,,,2004,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,D,fimH30,,,,,,,blaTEM1,,sul2,,,,,,aadA2-like,mphA,dfrA1,,,,,,,,,,,,,,,,,,,R,S,S,S,,S,S,-         ,S,S,,S,,,,R
30224_1#61,ERR4034359,9,141,,,2009,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30224_1#62,ERR4034360,11,10,,,2007,Førde,Førde sentralsykehus,Helse Vest,A,fimH34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,-         ,S,S,S,S,,,,S
30224_1#63,ERR4034361,2,95,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30224_1#64,ERR4034362,27,399,,,2005,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,A,fimH34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#65,ERR4034363,8,127,,,2009,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH2,,,,,,,,,,,,,,tetB_4,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30224_1#66,ERR4034364,1,73,,,2009,Førde,Førde sentralsykehus,Helse Vest,B2,fimH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30224_1#67,ERR4034365,6,297,,,2012,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B1,fimH38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30224_1#68,ERR4034366,12,88,,,2006,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,C,fimH39,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,S,S,,,,R
30224_1#69,ERR4034367,9,141,,,2004,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S
30224_1#7,ERR4034305,3,69,,,2007,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,dfrA5,,,,,aph3,,,,,,,,,,,R,S,S,S,S,S,S,,S,S,S,S,,,,R
30224_1#70,ERR4034368,2,95,,,2005,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,B2,fimH15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30224_1#71,ERR4034369,24,409,,,2013,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,A,not detected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
